CC1=CC[C@@H](C(C)C)c2cc(C)ccc21 LTS0261978
CC1=CC2[C@@H](CC1)C(C)=CC[C@@H]2C(C)C LTS0191845
CC1=CCC2C3C(C(C)C)CC[C@]2(C)C13 LTS0199723
CC1=CCC2C3C(C(C)C)CCC2(C)C13 LTS0207598
C=C1CC[C@H]2[C@H]3C1[C@@]2(C)CC[C@H]3C(C)C LTS0255787
CC1=CCC2[C@@H]3[C@H](C(C)C)CC[C@@]2(C)[C@H]13 LTS0190031
CC1=CCC(C(C)C)c2cc(C)ccc21 LTS0015523
CC1=C[C@H]2[C@H](C(C)C)CC=C(C)[C@@H]2CC1 LTS0003360
COc1cc(C)ccc1C(C)C LTS0054789
C=CC1(C)CCC(=C(C)C)CC1(C)C(=C)C LTS0102139
C=C[C@]1(C)CCC(=C(C)C)C[C@H]1C(=C)C LTS0135613
CC(C)c1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C LTS0202406
Cc1ccc2c(c1)C(C(C)C)CCC2C LTS0228241
CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C=O LTS0017603
C=C(C)[C@@H]1CC[C@@]2(C)CCCC(=C)[C@@H]2C1 LTS0096341
CC(C)C1CCC2(C)C3CC4C(C13)C42C LTS0040030
Cc1ccc2c(c1)[C@H](C(C)C)CC[C@@H]2C LTS0139634
CC1=CC2C(=C(C)CCC2C(C)C)CC1 LTS0270743
CC1=CC2C(CC1)C(C)=CCC2C(C)C LTS0154650
C=C1CC[C@@H](C(C)C)[C@@H]2C=C(C)CC[C@@H]12 LTS0103949
C=CC(C)(O)CCC1C(=C)CCC2C(C)(C)CCCC12C LTS0259845
CC(C)c1ccc2c(c1)CCC1C2(C)CCC[C@@]1(C)C(=O)O LTS0267608
C=C1CCC2C(=C)CCC(C(C)C)C2C1 LTS0155478
CC(C)C1=CC2=CC[C@H]3[C@](C)(C=O)CCC[C@]3(C)[C@H]2CC1 LTS0002029
C=C1CC[C@@H](C(C)C)[C@@H]2C=C(C)CC[C@H]12 LTS0052920
