	chemicalTaxonomyNPclassifierPathway	chemicalTaxonomyNPclassifierSuperclass	chemicalTaxonomyNPclassifierClass
717	Shikimates and Phenylpropanoids	Lignans	Flavonolignans
718	Shikimates and Phenylpropanoids	Flavonoids	Flavonolignans
719	Shikimates and Phenylpropanoids	Stilbenoids	Flavonostilbenes
720	Shikimates and Phenylpropanoids	Flavonoids	Flavonostilbenes
721	Shikimates and Phenylpropanoids	Stilbenoids	Stilbenolignans
722	Shikimates and Phenylpropanoids	Lignans	Stilbenolignans
723	Alkaloids	Tryptophan alkaloids	Quinoline alkaloids
724	Alkaloids	Anthranilic acid alkaloids	Quinoline alkaloids
725	Alkaloids	Tetramate alkaloids	Pyrazine and Piperazine alkaloids
726	Alkaloids	Peptide alkaloids	Pyrazine and Piperazine alkaloids
727	Amino acids and Peptides	Tetramate alkaloids	Pyrazine and Piperazine alkaloids
728	Amino acids and Peptides	Peptide alkaloids	Pyrazine and Piperazine alkaloids
